N,Empresa,Cidade,Atividade,Responsável,Número,E-mail,Instagram,CNPJ,Site,Endereço,Nota,Maps
11,Copacabana Odonto,Rio de Janeiro,Clínica odontológica,Antonio Jose Da Costa Santos,+55 21 2146-2006,contato@copacabanaodonto.com.br,@copacabanaodonto,44.751.784/0001-65,https://copacabanaodonto.com.br/,"R. Barata Ribeiro, 793 - sala 102-A - Copacabana, Rio de Janeiro - RJ, 22051-001, Brasil",4.9,https://www.google.com/maps/search/?api=1&query=Copacabana%20Odonto&query_place_id=ChIJTbngggaAmQARDmttnLRLbcg
12,Centro Odontológico Zona Sul,Rio de Janeiro,Dentista,Tammara Ottoni Mesquita Amarante,+55 21 4003-6588,franquiaov.gav@gmail.com,@clinicaserviceodonto,05.356.732/0001-32,https://www.serviceodonto.com.br/,"R. Marquês de São Vicente, 28 - Gávea, Rio de Janeiro - RJ, 22451-040, Brasil",4.6,https://www.google.com/maps/search/?api=1&query=Centro%20Odontol%C3%B3gico%20Zona%20Sul&query_place_id=ChIJqfNEB7rVmwARcrRpc9m0n_0
13,Odontoarte Rio | Odontologia Especializada,Rio de Janeiro,Clínica odontológica,Jorge Hiroshi Ishisaki,+55 21 98834-3607,odontoarterio2@gmail.com,@odontoarterio,10.230.272/0001-31,http://odontoarterio.com/,"Av. Rio Branco, 156 - SALA 1001 - Centro, Rio de Janeiro - RJ, 20040-003, Brasil",4.8,https://www.google.com/maps/search/?api=1&query=Odontoarte%20Rio%20%7C%20Odontologia%20Especializada&query_place_id=ChIJbQRFj2B_mQARDXKwSMxClYQ
14,Clínica Odontológica Belarcada,Rio de Janeiro,Clínica odontológica,Rosane Lima Vianna,+55 21 99630-8273,freitasdesergio@gmail.com,@belarcada,45.826.587/0001-20,http://www.belarcada.com.br/,"R. Santa Clara, 60 - Copacabana, Rio de Janeiro - RJ, 22050-001, Brasil",4.9,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Odontol%C3%B3gica%20Belarcada&query_place_id=ChIJF_lK5pTVmwARSYAlQFM4yuQ
15,CORB - Centro Odontológico Rio Branco,Rio de Janeiro,Clínica odontológica,Renata Lameira Nobrega Da Silva,+55 21 2220-8570,,@clinicacorb,08.766.703/0001-37,http://www.clinicacorb.com.br/,"Av. Rio Branco, 185 - Sala 1613 - Centro, Rio de Janeiro - RJ, 20040-007, Brasil",4.9,https://www.google.com/maps/search/?api=1&query=CORB%20-%20Centro%20Odontol%C3%B3gico%20Rio%20Branco&query_place_id=ChIJJ4yRZ2B_mQARTYYYmaSGHPQ
16,"Prime Dente Botafogo - Clínica Odontológica Implantes, Alinhadores Invisalign em Botafogo RJ",Rio de Janeiro,Clínica odontológica,Thiago Drumond Monteiro,+55 21 99991-8021,botafogo@primedente.com.br,,48.543.547/0001-60,https://primedente.com.br/,"Rua Dona Mariana, 125 - Botafogo, Rio de Janeiro - RJ, 22280-020, Brasil",4.8,https://www.google.com/maps/search/?api=1&query=Prime%20Dente%20Botafogo%20-%20Cl%C3%ADnica%20Odontol%C3%B3gica%20Implantes%2C%20Alinhadores%20Invisalign%20em%20Botafogo%20RJ&query_place_id=ChIJ0zIuak9_mQARgADibwQ81sY
17,Rio Dentistas 24 Horas,Rio de Janeiro,Serviço dentário de emergência,Dra. Rosângela,+55 21 99372-8715,contato@riodentistas24horas.com.br,@riodentistas24horas,,https://www.riodentistas24horas.com.br/,"Edifício Plenus Empresarial - R. São Francisco Xavier, 32 - Sala 310 - Tijuca, Rio de Janeiro - RJ, 20550-012, Brasil",4.9,https://www.google.com/maps/search/?api=1&query=Rio%20Dentistas%2024%20Horas&query_place_id=ChIJc5jbSNZ_mQAR2s4DtHKtQ3U
18,IRio Odontologia - Clínica Odontológica na Barra da Tijuca,Rio de Janeiro,Clínica odontológica,Dra. Maria,+55 21 98900-3446,,,,https://irioodonto.com.br/,"Av. das Américas, 3301 - Bloco 03 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-004, Brasil",5,https://www.google.com/maps/search/?api=1&query=IRio%20Odontologia%20-%20Cl%C3%ADnica%20Odontol%C3%B3gica%20na%20Barra%20da%20Tijuca&query_place_id=ChIJR3_ZokDamwAR5Xo0rDaCmXg
19,Dentista Centro RJ - Odonto Loureiro Clínica Odontológica e Implante,Rio de Janeiro,Clínica odontológica,Marcus Vinicius Moro Loureiro,+55 21 2263-9285,contato@odontoloureiro.com.br,@odontoloureiro,08.826.147/0001-47,https://mloureiro.odo.br/,"Av. Rio Branco, 37 - 502 - Centro, Rio de Janeiro - RJ, 20090-003, Brasil",5,https://www.google.com/maps/search/?api=1&query=Dentista%20Centro%20RJ%20-%20Odonto%20Loureiro%20Cl%C3%ADnica%20Odontol%C3%B3gica%20e%20Implante&query_place_id=ChIJ-x7T11t_mQARtnapN5YrPPw
20,Dentista e Invisalign no Meier - Clinica Odontológica Prime Dente,Rio de Janeiro,Clínica odontológica,Dr. Thiago,+55 21 99991-5601,contato@primedente.com.br,@prime_dente,,http://www.primedente.com.br/,"R. Dias da Cruz, 532 - Méier, Rio de Janeiro - RJ, 20720-011, Brasil",5,https://www.google.com/maps/search/?api=1&query=Dentista%20e%20Invisalign%20no%20Meier%20-%20Clinica%20Odontol%C3%B3gica%20Prime%20Dente&query_place_id=ChIJCzgocqB9mQAROAAFX7DeQ-k
21,Barra Clínica Odontológica Urgência,Rio de Janeiro,Clínica odontológica,,+55 21 99122-9709,,,,,"Próximo a Perinatal, no Dimension Office Park, bloco Lagoa 1 - Avenida Embaixador Abelardo Bueno, numero 1, sala 211, Rio de Janeiro - RJ, 22775-040, Brasil",4.9,https://www.google.com/maps/search/?api=1&query=Barra%20Cl%C3%ADnica%20Odontol%C3%B3gica%20Urg%C3%AAncia&query_place_id=ChIJZTsLd5DbmwARGSJVwberRrE
22,BB Oral Clinic - Clínica Odontológica - Dentista Barra da Tijuca,Rio de Janeiro,Clínica odontológica,Dra. Beatriz Barbosa,+55 21 97972-9292,bboralclinic@gmail.com,@bboralclinic,,https://bboralclinic.com.br/,"Av. das Américas, n° 3959 - loja 127 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-003, Brasil",5,https://www.google.com/maps/search/?api=1&query=BB%20Oral%20Clinic%20-%20Cl%C3%ADnica%20Odontol%C3%B3gica%20-%20Dentista%20Barra%20da%20Tijuca&query_place_id=ChIJhf0sw23bmwARfDQ3EST5FbM
23,Clínica Odontobarra | Dentista | Implante Dentário | Barra da Tijuca - RJ,Rio de Janeiro,Clínica odontológica,Daniel Roldi Vieira Pinheiro,+55 21 3959-5297,contato@clinicaodontobarra.com.br,@odontobarraimplantes,14.451.018/0001-14,https://www.clinicaodontobarra.com.br/,"Av. das Américas, 297 - Salas 304, 305 e 306 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-002, Brasil",4.5,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Odontobarra%20%7C%20Dentista%20%7C%20Implante%20Dent%C3%A1rio%20%7C%20Barra%20da%20Tijuca%20-%20RJ&query_place_id=ChIJ4w2BQ7vQmwARV0uwc6a4xSo
24,Romero Fernandes Odontologia - Implante Dentário com os melhores Dentistas da Barra da Tijuca,Rio de Janeiro,Clínica odontológica,Thiago Romero Pires,+55 21 97150-4123,drthiago@romerofernandes.com.br,@clinicaromerofernandes,29.990.589/0001-02,https://romerofernandes.com.br/,"Av. das Américas, 2480 - Bl. 4, 133 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-101, Brasil",5,https://www.google.com/maps/search/?api=1&query=Romero%20Fernandes%20Odontologia%20-%20Implante%20Dent%C3%A1rio%20com%20os%20melhores%20Dentistas%20da%20Barra%20da%20Tijuca&query_place_id=ChIJV-dUfQ7amwARcPHfhvWtniU
25,"Clínica Santé Rio - Odontologia, Invisalign e Odontopediatria",Rio de Janeiro,Clínica odontológica,,+55 21 99341-9042,,@santerioodontologia,,https://www.instagram.com/santerioodontologia/,"Av. das Américas, 4790 - Sala 619 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-102, Brasil",5,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Sant%C3%A9%20Rio%20-%20Odontologia%2C%20Invisalign%20e%20Odontopediatria&query_place_id=ChIJP2wUjLrQmwARzkqE6RSDuhQ
26,Clínica Premium Odontologia Barra | Downtown,Rio de Janeiro,Clínica odontológica,,+55 21 3154-6918,,@clinicapremiumbarra,,https://lp.premiumodontobarra.com.br/,"Av. das Américas, 500 - Bl 6 - sala 212 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-100, Brasil",4.6,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Premium%20Odontologia%20Barra%20%7C%20Downtown&query_place_id=ChIJOfkK9rrQmwARpdh12E2uJYA
27,Dentista Barra da Tijuca | Amil Hapvida Metlife Primavida Sulamérica Unimed,Rio de Janeiro,Clínica odontológica,,+55 21 97226-2017,daniel.br.andrade@gmail.com,@021dental_clinica,35.959.946/0001-64,https://021dental.com.br/dentista-na-barra-da-tijuca/,"Av. das Américas, 3665 - Loja 207 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-000, Brasil",4.4,https://www.google.com/maps/search/?api=1&query=Dentista%20Barra%20da%20Tijuca%20%7C%20Amil%20Hapvida%20Metlife%20Primavida%20Sulam%C3%A9rica%20Unimed&query_place_id=ChIJl-786VvbmwARUr5r78fa5kg
28,OdontoCompany Barra da Tijuca - Metrô Jardim Oceânico,Rio de Janeiro,Clínica odontológica,,+55 21 99068-8153,,,,https://www.odcbarradatijuca.com.br/,"Av. Fernando Mattos, 300 - Loja H - Barra da Tijuca, Rio de Janeiro - RJ, 22621-090, Brasil",4.7,https://www.google.com/maps/search/?api=1&query=OdontoCompany%20Barra%20da%20Tijuca%20-%20Metr%C3%B4%20Jardim%20Oce%C3%A2nico&query_place_id=ChIJ5bnoP9jRmwARmYpHeWMyRc4
29,Plage Odontologia - Implantes Dentários na Barra da Tijuca RJ,Rio de Janeiro,Clínica odontológica,Maria Isabel Almeida De Senne,+55 21 99228-2588,,@plageodontologia,03.975.852/0001-92,http://www.plageodontologia.com.br/,"Downtown - Av. das Américas, nº 500 Bloco 04 loja 130 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-100, Brasil",5,https://www.google.com/maps/search/?api=1&query=Plage%20Odontologia%20-%20Implantes%20Dent%C3%A1rios%20na%20Barra%20da%20Tijuca%20RJ&query_place_id=ChIJYbia1qTQmwARXrZhuRxRnis
30,Dra. Juliana Fernandes,Rio de Janeiro,Clínica odontológica,Juliana Maria Fernandes Guimaraes Portugal,+55 21 99436-7262,dra.julianaf@gmail.com,,38.287.700/0001-81,http://www.drajulianafernandes.com.br/,"Av. Afonso Arinos de Melo Franco, 222 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-455, Brasil",5,https://www.google.com/maps/search/?api=1&query=Dra.%20Juliana%20Fernandes&query_place_id=ChIJI-T8dfrRmwAR35SY8YYEuiE
31,Odontoclínica Via Parque,Rio de Janeiro,Clínica odontológica,Raphael Felix E Antunes,+55 21 97158-6182,dr.antunes@hotmail.com,,21.138.140/0001-09,https://www.ocvpbarra.com.br/,"Av. João Cabral de Mello Neto, 850 - bloco 3 sala 1519 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-057, Brasil",4.9,https://www.google.com/maps/search/?api=1&query=Odontocl%C3%ADnica%20Via%20Parque&query_place_id=ChIJNc2YKQ3bmwAR--1z7G9_qO8
32,Clínica Odontológica Dra. Alice Freitas | Invisalign Barra da Tijuca,Rio de Janeiro,Clínica odontológica,Dra. Alice Freitas,+55 21 99404-8945,alice.ff@ig.com.br,,,https://www.draalicefreitas.com/,"Av. Ayrton Senna, 250 - sala 208 - Barra da Tijuca, Rio de Janeiro - RJ, 22793-000, Brasil",5,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Odontol%C3%B3gica%20Dra.%20Alice%20Freitas%20%7C%20Invisalign%20Barra%20da%20Tijuca&query_place_id=ChIJUQ7yXq_bmwAR40aaKRgOjM4
33,Odonto 21,Rio de Janeiro,Clínica odontológica,Alejandro Gabriel Widder,+55 21 99256-8519,zscontabilidade@zurich-santander.com.br,@odonto21barra,14.927.215/0001-67,https://odonto21.com.br/,"Av. das Américas, 7607 - Sala 203 - Barra da Tijuca, Rio de Janeiro - RJ, 22793-081, Brasil",5,https://www.google.com/maps/search/?api=1&query=Odonto%2021&query_place_id=ChIJZS5FNO7dmwARQSVeMSX9Sps
34,Dra. Luciana Giesta - Endodontia - Microscopia - Barra da Tijuca,Rio de Janeiro,Clínica odontológica,,+55 21 99380-6070,,,,,"Shopping Millenium - Av. das Américas, 7707 - Barra da Tijuca, Rio de Janeiro - RJ, 22793-081, Brasil",5,https://www.google.com/maps/search/?api=1&query=Dra.%20Luciana%20Giesta%20-%20Endodontia%20-%20Microscopia%20-%20Barra%20da%20Tijuca&query_place_id=ChIJT2T2H1_bmwAR3E5K0lDmf3o
35,Clínica Guedes Odontologia,Rio de Janeiro,Clínica odontológica,Marco Antonio Balthazar Guedes,+55 21 2493-2565,adm@cgodontoface.com,@clinicaguedes,52.803.569/0001-99,http://www.clinicaguedes.com.br/,"Av. das Américas, 500 - Bloco 13 - Portaria B - Sala 320 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-100, Brasil",4.9,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Guedes%20Odontologia&query_place_id=ChIJYbia1qTQmwARgD1ODl31Frc
36,Dentista Dra. Gabriella Oliveira - Barra da Tijuca,Rio de Janeiro,Clínica odontológica,Dra. Gabriella Oliveira,+55 21 97023-8195,,@whatsapp,,http://wa.link/d2vexr,"Shopping Downtown - Av. das Américas, 500 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-100, Brasil",5,https://www.google.com/maps/search/?api=1&query=Dentista%20Dra.%20Gabriella%20Oliveira%20-%20Barra%20da%20Tijuca&query_place_id=ChIJzRhfcQXVmwARHJ1oNUIx6KE
37,"Pronto Oral - Emergência Odontológica, Dentista Emergência",Rio de Janeiro,Clínica odontológica,Dra Helena,+55 21 2483-1835,,,,https://www.prontooral.com.br/,"Av. Evandro Lins e Silva, 840 - sala 919 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-470, Brasil",4.7,https://www.google.com/maps/search/?api=1&query=Pronto%20Oral%20-%20Emerg%C3%AAncia%20Odontol%C3%B3gica%2C%20Dentista%20Emerg%C3%AAncia&query_place_id=ChIJVzjHzKbQmwARbxBC2gq1ETE
38,NOI Odontologia | Barra da Tijuca,Rio de Janeiro,Clínica odontológica,Maria Francisca Silva Pinho,+55 21 3593-4824,noiodontologia@noi.com,,50.812.521/0001-11,,"Av. das Américas, 3301 - bloco 2 sala 306 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-260, Brasil",5,https://www.google.com/maps/search/?api=1&query=NOI%20Odontologia%20%7C%20Barra%20da%20Tijuca&query_place_id=ChIJsXEj3g3bmwARudwd_Jf7KoA
39,Odontoclínica de Copacabana Dentistas Associados,Rio de Janeiro,Clínica odontológica,,+55 21 99923-5339,contato@odontoclinicacopa.com.br,@odontoclinicacopa,,https://www.odontoclinicacopa.com.br/,"R. Figueiredo de Magalhães, 219 - Sobreloja 202 - Copacabana, Rio de Janeiro - RJ, 22031-010, Brasil",4.9,https://www.google.com/maps/search/?api=1&query=Odontocl%C3%ADnica%20de%20Copacabana%20Dentistas%20Associados&query_place_id=ChIJX3H1zFrVmwARQCyzGJnWxjY
40,"OdontoCompany Copacabana - Dentista Implante, Facetas, Canal.",Rio de Janeiro,Clínica odontológica,Sidney Vianna,+55 21 96014-1022,gerclau@oi.com.br,,25.205.435/0001-01,,"6, Rua Siqueira Campos, 53 - Copacabana, Rio de Janeiro - RJ, 22031-072, Brasil",4.7,https://www.google.com/maps/search/?api=1&query=OdontoCompany%20Copacabana%20-%20Dentista%20Implante%2C%20Facetas%2C%20Canal.&query_place_id=ChIJ8zv7mlrVmwARSbAw3L1jhxM
41,Dentista Ipanema,Rio de Janeiro,Dentista,Dr Guilherme Rothier,+55 21 98898-6552,,@clinicaguilhermerothier,,https://www.dentistaipanema.com/,"R. Visc. de Pirajá, 111 - Sala 207 - Ipanema, Rio de Janeiro - RJ, 22410-001, Brasil",5,https://www.google.com/maps/search/?api=1&query=Dentista%20Ipanema&query_place_id=ChIJheRynEbVmwARl3RIE3LyZnw
42,Dentistas Copacabana - Clínica Odontológica,Rio de Janeiro,Clínica odontológica,,+55 21 99616-7799,,@whatsapp,,http://wa.me/+5521996167799,"Av. Nossa Sra. de Copacabana, 435 - sala 601 - Copacabana, Rio de Janeiro - RJ, 22020-002, Brasil",4.7,https://www.google.com/maps/search/?api=1&query=Dentistas%20Copacabana%20-%20Cl%C3%ADnica%20Odontol%C3%B3gica&query_place_id=ChIJRXEOk1DVmwARvrwwbpzV5TY
43,Dra Sabrina Wigneron| Implante Dentário | Dentista | Consultório Studio Oral Implantes| Copacabana | Rio de Janeiro - RJ,Rio de Janeiro,Clínica odontológica,Dra. Sabrina Wigneron,+55 21 99174-5105,riabilitaodontologia@gmail.com,,,https://drawigneron.com.br/,"Rua Siqueira Campos, 30 - sala 403 - Copacabana, Rio de Janeiro - RJ, 22031-002, Brasil",5,https://www.google.com/maps/search/?api=1&query=Dra%20Sabrina%20Wigneron%7C%20Implante%20Dent%C3%A1rio%20%7C%20Dentista%20%7C%20Consult%C3%B3rio%20Studio%20Oral%20Implantes%7C%20Copacabana%20%7C%20Rio%20de%20Janeiro%20-%20RJ&query_place_id=ChIJ8VuLDq_VmwARss999JeSrkU
44,Guilherme Rothier,Rio de Janeiro,Clínica odontológica,Guilherme Rothier Wachholz,+55 21 96899-2262,,@clinicaguilhermerothier,34.102.808/0001-00,https://www.guilhermerothier.com.br/,"R. Visc. de Pirajá, 414 - sala 908 e 909 - Ipanema, Rio de Janeiro - RJ, 22410-003, Brasil",4.9,https://www.google.com/maps/search/?api=1&query=Guilherme%20Rothier&query_place_id=ChIJQW2yjjLYmwARvzwpFYNRcxU
45,Centro odontológico siqueira campos,Rio de Janeiro,Dentista,Clenilda Gomes Cirino De Araujo,+55 21 98744-2039,franquiaov.cop3@gmail.com,@clinicaserviceodonto,05.399.679/0001-57,https://www.serviceodonto.com.br/,"Rua siqueira campos 65 cep 22031-072 - Copacabana, Rio de Janeiro - RJ, 22031-072, Brasil",4.8,https://www.google.com/maps/search/?api=1&query=Centro%20odontol%C3%B3gico%20siqueira%20campos&query_place_id=ChIJH-2uhVrVmwARu0wJP7JUhZQ
46,Clínica Calixto Odontologia,Rio de Janeiro,Dentista,,+55 21 99988-8988,,,,,"Rua visconde de Pirajá 351, Av. Nossa Sra. de Copacabana, 1018 - Ipanema e Copacabana, Rio de Janeiro - RJ, 22410-003, Brasil",5,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Calixto%20Odontologia&query_place_id=ChIJldxViRvVmwARTuJ1Wkkvb4U
47,Dr. Rony Hansen - Urgências Dentárias 24 Horas | Ipanema,Rio de Janeiro,Dentista,Dr. Rony Hansen,+55 21 99989-5247,ronyhansen@uol.com.br,,,http://www.dentistasemipanema.com.br/,"Somente atendimento particular - R. Visc. de Pirajá, 621/204 - Ipanema, Rio de Janeiro - RJ, 22410-003, Brasil",4.7,https://www.google.com/maps/search/?api=1&query=Dr.%20Rony%20Hansen%20-%20Urg%C3%AAncias%20Dent%C3%A1rias%2024%20Horas%20%7C%20Ipanema&query_place_id=ChIJx5CC5qnVmwARHM7o9coU0Pg
48,Bianca Barata,Rio de Janeiro,Clínica odontológica,Dra. Bianca Barata,+55 21 99570-2659,biabarata84@gmail.com,,26.968.679/0001-09,http://www.biancabarata.com/,"Centro Comercial Copacabana - Rua Siqueira Campos, 43 - Copacabana, Rio de Janeiro - RJ, 22031-901, Brasil",5,https://www.google.com/maps/search/?api=1&query=Bianca%20Barata&query_place_id=ChIJIUH5JwzVmwARfxMo5vtKy34
49,Fontes Odontologia | Facetas Dentárias | Dentista em Ipanema - RJ,Rio de Janeiro,Clínica odontológica,Alexandre Henrique Fontes,+55 21 98716-8285,reabilitar.alex@hotmail.com,@fontesodonto,31.616.318/0001-25,http://www.fontesodontologia.com/,"R. Visc. de Pirajá, 351 - loja 801 - Ipanema, Rio de Janeiro - RJ, 22410-003, Brasil",4.9,https://www.google.com/maps/search/?api=1&query=Fontes%20Odontologia%20%7C%20Facetas%20Dent%C3%A1rias%20%7C%20Dentista%20em%20Ipanema%20-%20RJ&query_place_id=ChIJGSMRMkXVmwARhRxIl6KXUpQ
50,Otimiza Odontologia | Dentista Rio de Janeiro - Copacabana,Rio de Janeiro,Clínica odontológica,Alessandra Cristina Pesce,+55 21 96733-1522,alessandra_pesce@hotmail.com,@otimizaodontologia_,48.784.189/0001-87,https://otimizaodontologia.com.br/,"Edifício Pasteur - R. Xavier da Silveira, n° 45 - Sala 1206 - Copacabana, Rio de Janeiro - RJ, 22061-010, Brasil",5,https://www.google.com/maps/search/?api=1&query=Otimiza%20Odontologia%20%7C%20Dentista%20Rio%20de%20Janeiro%20-%20Copacabana&query_place_id=ChIJmdljYwDVmwARM61SWPqXiTc
